Locality,Type_of_property,Price,Availability,Condition of the property
Liège,Maison,165 000 €,À vendre,Bon état
Liege,Maison,175 000 €,Option,1 712 €
Liege,Maison,259 000 €,Vendu,Bon état
Liege,Maison,76 500 €,À vendre,à rafraîchir
Liège,Maison,795 000 €,À vendre,Excellent état
Liege,Maison,99 000 €,À vendre,Bon état
Locality,Type_of_property,Price,Availability,Condition of the property
Seraing,Maison,119 000 €,À vendre,à rénover
Seraing,Maison,129 000 €,Option,à rafraîchir
Seraing,Maison,149 000 €,À vendre,à rénover
Seraing,Maison,159 000 €,À vendre,Bon état
Seraing,Maison,179 000 €,Vendu,à rafraîchir
Seraing,Maison,219 000 €,À vendre,607 €
Locality,Type_of_property,Price,Availability,Condition of the property
Waremme,Maison,119 000 €,Vendu,à rafraîchir
Waremme,Maison,189 000 €,À vendre,à rafraîchir
Locality,Type_of_property,Price,Availability,Condition of the property
Villers-le-Bouillet,Maison,349 000 €,À vendre,à rafraîchir
Locality,Type_of_property,Price,Availability,Condition of the property
Flémalle,Maison,329 000 €,Option,à rénover
Locality,Type_of_property,Price,Availability,Condition of the property
Fléron,Maison,219 000 €,Option,à rénover
Locality,Type_of_property,Price,Availability,Condition of the property
Esneux,Maison,395 000 €,À vendre,Bon état
Locality,Type_of_property,Price,Availability,Condition of the property
Liege,Appartement,119 000 €,À vendre,Bon état
Liège,Appartement,125 000 €,Option,à rafraîchir
Liege,Appartement,125 000 €,Vendu,Bon état
Liège,Appartement,139 000 €,Vendu,à rénover
Liege,Appartement,139 000 €,À vendre,981 €
Liège,Appartement,159 000 €,Vendu,Bon état
Liège,Appartement,199 000 €,Option,Bon état
Liège,Appartement,209 000 €,Vendu,Bon état
Liège,Appartement,299 000 €,À vendre,à rafraîchir
Locality,Type_of_property,Price,Availability,Condition of the property
Grace-Hollogne,Appartement,165 000 €,Option,Bon état
Locality,Type_of_property,Price,Availability,Condition of the property
Liège Grivegnée,Appartement,69 000 €,À vendre,Bon état
Locality,Type_of_property,Price,Availability,Condition of the property
Herstal,Appartement,249 000 €,Vendu,Neuf
